row,sheet_serial,sheet_datetime,source_image,output_name,tier,status,overlay_text,note
2,ICON625R1290730001,2026-09-08T07:29:56,ICON620R1283110052.jpg,ICON625R1290730001.jpg,T3,ok,EL-1  PY  ICON625R1290730001.jpg  2026-09-08  07:29:56,
3,ICON625R1290730181,2026-09-08T07:30:11,ICON620R1283110039.jpg,ICON625R1290730181.jpg,T3,ok,EL-1  PY  ICON625R1290730181.jpg  2026-09-08  07:30:11,
4,ICON625R1290730113,2026-09-08T07:30:25,ICON620R1283110070.jpg,ICON625R1290730113.jpg,T3,ok,EL-1  PY  ICON625R1290730113.jpg  2026-09-08  07:30:25,
5,ICON625R1290730027,2026-09-09T07:30:43,ICON620R1283110007.jpg,ICON625R1290730027.jpg,T3,ok,EL-1  PY  ICON625R1290730027.jpg  2026-09-09  07:30:43,
6,ICON625R1291110580,2026-09-11T07:30:57,ICON620R1283110001.jpg,ICON625R1291110580.jpg,T3,ok,EL-1  PY  ICON625R1291110580.jpg  2026-09-11  07:30:57,
7,ICON625R1291110630,2026-09-11T07:31:14,ICON620R1283110064.jpg,ICON625R1291110630.jpg,T3,ok,EL-1  PY  ICON625R1291110630.jpg  2026-09-11  07:31:14,
8,ICON625R1291110576,2026-09-11T07:31:32,ICON620R1283110065.jpg,ICON625R1291110576.jpg,T3,ok,EL-1  PY  ICON625R1291110576.jpg  2026-09-11  07:31:32,
9,ICON625R1291110748,2026-09-11T07:31:54,ICON620R1283110074.jpg,ICON625R1291110748.jpg,T3,ok,EL-1  PY  ICON625R1291110748.jpg  2026-09-11  07:31:54,
10,ICON625R1291110807,2026-09-11T07:32:51,ICON620R1283110018.jpg,ICON625R1291110807.jpg,T3,ok,EL-1  PY  ICON625R1291110807.jpg  2026-09-11  07:32:51,
11,ICON625R1291110782,2026-09-11T07:33:34,ICON620R1283110071.jpg,ICON625R1291110782.jpg,T3,ok,EL-1  PY  ICON625R1291110782.jpg  2026-09-11  07:33:34,
12,ICON625R1291110817,2026-09-11T07:34:33,ICON620R1283110063.jpg,ICON625R1291110817.jpg,T3,ok,EL-1  PY  ICON625R1291110817.jpg  2026-09-11  07:34:33,
13,ICON625R1291110824,2026-09-11T07:34:59,ICON620R1283110006.jpg,ICON625R1291110824.jpg,T3,ok,EL-1  PY  ICON625R1291110824.jpg  2026-09-11  07:34:59,
14,ICON625R1291110585,2026-09-12T07:35:17,ICON620R1283110008.jpg,ICON625R1291110585.jpg,T3,ok,EL-1  PY  ICON625R1291110585.jpg  2026-09-12  07:35:17,
15,ICON625R1291110854,2026-09-12T07:28:26,ICON620R1283110005.jpg,ICON625R1291110854.jpg,T3,ok,EL-1  PY  ICON625R1291110854.jpg  2026-09-12  07:28:26,
16,ICON625R1291110841,2026-09-12T07:29:00,ICON620R1283110090.jpg,ICON625R1291110841.jpg,T3,ok,EL-1  PY  ICON625R1291110841.jpg  2026-09-12  07:29:00,
17,ICON625R1291310143,2026-09-13T07:29:34,ICON620R1283110009.jpg,ICON625R1291310143.jpg,T3,ok,EL-1  PY  ICON625R1291310143.jpg  2026-09-13  07:29:34,
18,ICON625R1290920904,2026-09-10T08:36:00,ICON620R1283110016.jpg,ICON625R1290920904.jpg,T3,ok,EL-1  PY  ICON625R1290920904.jpg  2026-09-10  08:36:00,
,,,ICON620R1283110011.jpg,,,unused,,
